Observation,Network,Rating,Fact,Stars,Previous Ratings,Competition,,
1,RUV,15.6,0,1,14.2,14.5,,
2,RUV,10.8,1,0,15.3,17.2,,
3,RUV,14.1,0,1,13.8,14.4,,
4,RUV,16.8,1,1,12.8,15.3,,
5,RUV,14.3,1,1,12.4,13.3,,
6,RUV,17.1,1,1,12.9,15.1,,
7,RUV,8.9,0,0,10.8,14.9,,
8,RUV,16.2,1,0,13.3,11.6,,
9,RUV,9.4,0,1,12.3,12.8,,
10,RUV,10.2,0,1,10.7,15.6,,
11,RUV,9.4,0,0,10.7,14.5,,
12,RUV,12.1,0,1,10.1,15.6,,
13,RUV,10.7,1,0,8.6,17.0,,
14,RUV,15.0,1,0,9.8,8.2,,
15,RUV,10.2,0,0,11.7,13.5,,
16,RUV,10.3,0,1,10.1,15.2,,
17,RUV,10.8,0,1,10.9,13.1,,
18,RUV,14.4,1,0,15.9,12.6,,
19,RUV,14.4,1,1,12.1,14.2,,
20,RUV,13.6,1,0,11.4,11.9,,
21,INN,14.6,0,0,19.3,14.4,,
22,INN,10.8,0,1,16.3,15.2,,
23,INN,16.2,0,0,20.1,14.4,,
24,INN,12.8,0,0,14.8,13.1,,
25,INN,16.0,0,1,19.3,13.5,,
26,INN,18.9,0,1,17.8,13.0,,
27,INN,14.0,1,1,14.3,13.8,,
28,INN,19.5,1,1,16.2,11.8,,
29,INN,14.7,1,0,13.8,15.7,,
30,INN,16.3,0,1,18.0,11.4,,
31,INN,15.8,1,0,17.7,13.3,,
32,INN,17.1,0,1,17.1,11.3,,
33,INN,11.5,0,0,13.8,13.1,,
34,INN,16.0,1,0,15.3,11.8,,
35,INN,11.7,0,1,16.6,14.3,,
36,INN,14.2,0,0,13.6,11.4,,
37,INN,11.2,0,0,14.3,14.4,,
38,INN,10.9,0,0,12.4,13.0,,
39,INN,13.3,0,1,13.1,10.1,,
40,INN,15.5,1,0,17.0,12.4,,
41,INN,16.6,1,0,13.6,11.8,,
42,INN,16.3,1,0,16.5,12.8,,
43,INN,15.8,0,1,15.7,11.3,,
44,INN,13.3,1,0,10.7,12.8,,
45,INN,15.4,0,1,17.3,10.9,,
46,INN,14.7,0,0,15.5,13.9,,
47,INN,15.5,0,0,17.4,12.6,,
48,INN,14.7,1,0,15.3,14.0,,
49,INN,15.9,1,0,18.4,10.5,,
50,INN,13.8,1,0,24.7,12.1,,
51,INN,10.0,0,1,14.2,12.9,,
52,INN,12.9,0,1,16.9,18.6,,
53,INN,15.4,1,0,15.9,12.4,,
54,INN,14.5,0,2,19.4,14.2,,
55,INN,18.8,0,2,16.7,14.7,,
56,INN,16.7,0,0,14.9,10.1,,
57,INN,12.8,0,0,16.3,12.0,,
58,INN,16.8,0,1,15.7,10.1,,
59,S2,14.0,0,1,8.2,14.8,,
60,S2,11.3,1,0,13.0,13.2,,
61,S2,13.6,0,0,13.7,15.1,,
62,S2,12.9,1,0,8.8,16.0,,
63,S2,13.2,1,0,13.1,17.0,,
64,S2,16.0,1,0,6.9,15.8,,
65,S2,14.6,1,1,13.8,17.4,,
66,S2,16.6,0,1,16.8,14.4,,
67,S2,17.5,1,0,14.8,14.2,,
68,S2,11.6,0,0,10.0,14.0,,
69,S2,8.9,0,0,8.6,13.0,,
70,S2,15.6,0,0,13.3,16.8,,
71,S2,9.2,0,1,6.8,12.1,,
72,S2,11.8,0,0,12.9,12.0,,
73,S2,11.0,0,0,5.3,14.7,,
74,S2,9.5,1,0,13.0,17.3,,
75,S2,11.6,0,0,10.1,12.8,,
76,S2,13.3,1,0,13.1,20.3,,
77,S2,13.6,1,0,14.1,18.3,,
78,S2,12.4,0,0,13.6,20.2,,
79,S2,13.8,1,0,10.2,16.6,,
80,S2,11.9,1,0,11.8,12.2,,
81,S2,14.6,0,0,14.9,14.9,,
82,S2,15.8,1,1,13.4,17.2,,
83,S2,15.4,0,1,13.6,16.8,,
84,S2,12.8,0,0,12.7,14.6,,
85,S2,12.8,0,0,12.0,18.6,,
86,S2,15.1,0,0,14.1,15.5,,
87,S2,11.4,0,1,11.2,16.4,,
88,S2,19.1,1,0,12.6,15.4,,
