Store.N,Profit,Sales,Profit.Margin,SQRT.Manager.Tenure,SQRT.Crew.Tenure,Competitors,Footfall,Residential,Population,24h,Visibility,Crew.Tenure,Manager.Tenure,LN.Crew.Tenure
74,518998,1782957,0.291088344,13.08041284,5.43318599,2.31985,4,1,10913,0,3,29.51951,171.0972,5.43318599
7,476355,1809256,0.263287782,7.907641874,2.706748603,3.3779,5,1,17754,1,2,7.326488,62.5308,2.706748603
9,474725,2113089,0.224659255,10.43999521,2.462032088,2.63763,4,1,26519,1,2,6.061602,108.9935,2.462032088
6,469050,1703140,0.275403079,12.24483156,3.369143808,3.184613,4,1,16926,0,3,11.35113,149.9359,3.369143808
44,439781,1807740,0.243276688,13.49949629,10.68418925,3.628561,4,0,20624,1,3,114.1519,182.2364,10.68418925
2,424007,1619874,0.261753075,9.28559045,2.576150229,4.235555,3,1,8630,1,4,6.63655,86.22219,2.576150229
45,410149,1602362,0.255965256,6.90258285,3.027593929,3.472609,3,1,17808,1,5,9.166325,47.64565,3.027593929
18,394039,1704826,0.231131506,15.49095865,5.811551428,3.994713,3,1,3807,1,5,33.77413,239.9698,5.811551428
11,389886,1583446,0.246226269,6.694756904,1.427221426,3.272398,5,1,21550,1,2,2.036961,44.81977,1.427221426
47,387853,1665657,0.232852862,3.584396741,2.576150229,2.422707,5,1,23623,1,2,6.63655,12.8479,2.576150229
34,382199,1557084,0.245458177,5.401745088,4.443577388,2.361195,4,1,10923,1,4,19.74538,29.17885,4.443577388
69,375393,1574290,0.238452255,6.64302115,5.172982699,3.949484,3,1,5050,1,3,26.75975,44.12973,5.172982699
22,367036,1433440,0.256052573,4.285816142,5.094588305,4.46436,3,1,8280,1,4,25.95483,18.36822,5.094588305
53,365018,1355684,0.269250061,7.565744511,2.871655794,3.156869,2,1,6909,1,2,8.246407,57.24049,2.871655794
67,362067,1228052,0.294830349,2.292913212,1.848469096,3.583143,3,1,11552,1,3,3.416838,5.257451,1.848469096
8,361115,1378482,0.261965699,0,7.534724945,2.895114,3,1,20824,1,4,56.77208,0,7.534724945
60,356071,1433624,0.248371261,5.789322067,2.531120503,2.719548,4,1,8845,1,3,6.406571,33.51625,2.531120503
43,337233,1296711,0.260067972,13.3255544,2.342360561,3.653641,3,1,3495,1,4,5.486653,177.5704,2.342360561
30,333607,1874873,0.177935786,8.5639617,4.839943181,3.578323,2,1,1116,1,3,23.42505,73.34144,4.839943181
12,329020,1444714,0.227740577,16.67296314,2.576150229,4.903895,4,1,11160,0,4,6.63655,277.9877,2.576150229
35,322624,1443230,0.223543025,6.082705812,3.847183385,3.613021,3,1,14361,1,4,14.80082,36.99931,3.847183385
46,315780,1339214,0.235795026,2.48545871,2.292743553,3.144458,3,1,9285,1,4,5.256673,6.177505,2.292743553
59,303069,1334898,0.227035324,3.648002193,3.710243927,3.301353,3,1,6231,1,3,13.76591,13.30792,3.710243927
65,301641,1349972,0.223442412,12.25690418,4.839943181,3.21896,1,1,1075,1,3,23.42505,150.2317,4.839943181
5,300480,1227841,0.24472224,1.969103857,2.620406457,1.651364,5,0,20335,1,2,6.86653,3.87737,2.620406457
75,296826,1321870,0.224550069,1.505747655,2.950655181,1.886111,4,0,8966,1,4,8.706366,2.267276,2.950655181
33,292745,1369092,0.213824199,7.191673658,1.968958354,5.309016,2,1,8177,1,3,3.876797,51.72017,1.968958354
48,284169,1243167,0.228584736,5.610614048,2.871655794,4.848749,2,1,8491,1,3,8.246407,31.47899,2.871655794
21,282584,1237518,0.228347386,4.911065058,2.68542343,4.020201,3,1,14022,1,3,7.211499,24.11856,2.68542343
25,282124,1282886,0.219913539,0,3.211887296,3.51702,3,1,6183,1,3,10.31622,0,3.211887296
73,279193,1115450,0.250296293,6.414012005,2.531120503,4.180132,3,1,6276,1,4,6.406571,41.13955,2.531120503
